team,teamID,gameID,season,week,opponent,opponentID,completions,passingAttempts,passingYards,completionPct,yardsPerPassAttempt,yardsPerCompletion,passingTouchdowns,interceptions,sacks,rushingYards,rushingAttempts,yardsPerRushAttempt,rushingTouchdowns,receivingTouchdowns,fumbles,fumblesRecovered,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,extraPointsMade,totalKickingPoints
DAL,14,401220347,2020,1,DAL,6,20,31,275,64.5,8.9,13.75,0,1,1,153.0,40,3.83,2,0,0,0,0,0,2,0,0,2,8,20
DAL,21,401220258,2020,8,DAL,6,15,27,123,55.6,4.6,8.2,2,2,4,119.0,26,4.58,0,2,1,0,0,0,0,0,0,1,1,13
DAL,33,401220151,2020,13,DAL,6,12,17,107,70.6,6.3,8.92,2,1,0,266.0,31,8.58,2,1,0,0,0,1,1,0,0,4,10,28
DAL,19,401220250,2020,17,DAL,6,17,25,229,68.0,9.2,13.47,2,1,2,125.0,28,4.46,1,1,1,0,0,0,0,0,1,2,5,17
DAL,19,401220242,2020,5,DAL,6,20,33,222,60.6,6.7,11.1,0,0,2,86.0,26,3.31,2,0,0,0,0,1,0,0,3,2,14,26
DAL,5,401220247,2020,4,DAL,6,19,30,165,63.3,5.5,8.68,2,0,2,193.0,22,8.77,3,3,0,0,0,0,1,1,0,5,11,47
DAL,22,401220245,2020,6,DAL,6,9,24,188,37.5,7.8,20.89,2,0,1,261.0,35,7.46,3,2,0,0,0,1,0,0,0,5,8,38
DAL,23,401220248,2020,9,DAL,6,2,3,3,66.7,1.0,1.5,0,0,0,38.0,17,2.24,0,3,0,0,0,0,0,1,1,0,6,24
DAL,1,401220249,2020,2,DAL,6,24,36,273,66.7,7.6,11.38,4,0,1,111.0,33,3.36,0,4,0,0,0,1,1,2,0,3,15,39
DAL,26,401220363,2020,3,DAL,6,27,40,315,67.5,7.9,11.67,5,0,4,41.0,8,5.12,0,4,2,1,0,0,0,0,0,4,4,28
DAL,28,401220244,2020,12,DAL,6,0,0,0,0,0,0,0,0,0,124.0,22,5.64,3,1,0,0,0,1,1,0,0,5,11,35
DAL,21,401220243,2020,16,DAL,6,0,0,0,0,0,0,0,0,0,82.0,20,4.1,1,1,2,0,0,0,1,0,0,2,5,17
DAL,2,401128017,2019,13,DAL,6,19,24,231,79.2,9.6,12.16,1,0,4,117.0,33,3.55,1,2,0,0,0,1,0,1,0,2,8,26
DAL,17,401127957,2019,12,DAL,6,17,37,190,45.9,5.1,11.18,1,0,2,85.0,24,3.54,0,1,0,0,0,0,0,2,0,1,7,13
DAL,16,401128041,2019,10,DAL,6,23,32,220,71.9,6.9,9.57,2,0,1,154.0,35,4.4,1,2,0,0,0,0,0,0,0,0,0,18
DAL,20,401128130,2019,6,DAL,6,23,32,338,71.9,10.6,14.7,2,1,2,56.0,20,2.8,1,2,0,0,0,0,1,0,0,3,6,24
DAL,8,401128052,2019,11,DAL,6,15,26,209,57.7,8.0,13.93,2,0,3,115.0,26,4.42,2,2,0,0,0,0,0,0,0,3,3,27
DAL,14,401128103,2019,15,DAL,6,33,51,284,64.7,5.6,8.61,2,1,2,22.0,14,1.57,1,2,0,0,0,0,0,0,0,1,1,19
DAL,19,401128091,2019,9,DAL,6,26,41,210,63.4,5.1,8.08,1,1,5,100.0,22,4.55,0,0,0,0,0,4,0,0,0,0,12,12
DAL,19,401128007,2019,1,DAL,6,3,4,17,75.0,4.3,5.67,0,0,0,125.0,12,10.42,0,1,1,0,0,1,0,0,0,2,5,11
DAL,28,401127980,2019,17,DAL,6,18,37,206,48.6,5.6,11.44,1,1,2,89.0,16,5.56,0,0,1,1,0,1,1,1,0,1,10,10
DAL,28,401128115,2019,2,DAL,6,26,37,221,70.3,6.0,8.5,2,0,1,27.0,13,2.08,1,2,0,0,0,0,0,0,0,3,3,21
DAL,9,401128029,2019,5,DAL,6,22,34,238,64.7,7.0,10.82,0,0,2,106.0,23,4.61,4,0,0,0,0,0,0,0,0,0,0,24
DAL,3,401127871,2019,14,DAL,6,23,31,244,74.2,7.9,10.61,3,1,2,156.0,33,4.73,1,3,3,1,0,0,1,0,0,4,7,31
DAL,21,401127938,2019,16,DAL,6,31,40,319,77.5,8.0,10.29,1,0,1,101.0,26,3.88,1,1,0,0,0,0,1,0,0,2,5,17
DAL,21,401127987,2019,7,DAL,6,16,26,191,61.5,7.3,11.94,1,1,3,33.0,10,3.3,0,1,1,1,0,0,1,0,0,1,4,10
DAL,15,401127921,2019,3,DAL,6,0,0,0,0,0,0,0,0,0,55.0,20,2.75,0,0,1,1,0,0,0,0,0,0,0,0
DAL,18,401128102,2019,4,DAL,6,0,0,0,0,0,0,0,0,0,99.0,23,4.3,0,0,0,0,1,1,0,2,0,0,12,12
DAL,28,401326531,2021,14,DAL,6,11,25,122,44.0,4.9,11.09,1,1,4,100.0,23,4.35,1,1,1,1,0,0,0,0,0,0,0,12
DAL,28,401326567,2021,16,DAL,6,7,22,121,31.8,5.5,17.29,1,2,4,70.0,19,3.68,0,2,1,0,0,0,0,0,0,2,2,14
DAL,27,401326322,2021,1,DAL,6,16,25,172,64.0,6.9,10.75,0,1,0,221.0,52,4.25,2,4,2,2,0,0,1,0,0,4,7,43
DAL,7,401326455,2021,9,DAL,6,19,28,249,67.9,8.9,13.11,1,0,4,190.0,41,4.63,2,1,0,0,0,1,0,1,1,1,10,28
DAL,13,401326495,2021,12,DAL,6,0,0,0,0.0,0.0,0,0,0,0,143.0,35,4.09,2,0,0,0,0,2,1,1,1,3,18,30
DAL,16,401326449,2021,8,DAL,6,23,35,184,65.7,5.3,8.0,1,0,1,101.0,23,4.39,0,1,0,0,0,1,0,2,0,1,10,16
DAL,29,401326383,2021,4,DAL,6,26,39,301,66.7,7.7,11.58,2,2,5,101.0,21,4.81,2,2,0,0,0,0,0,0,0,4,4,28
DAL,19,401326546,2021,15,DAL,6,13,24,99,54.2,4.1,7.62,0,3,0,124.0,24,5.17,0,0,1,1,0,0,1,1,0,0,6,6
DAL,19,401326407,2021,5,DAL,6,5,13,98,38.5,7.5,19.6,0,0,0,69.0,24,2.88,1,1,0,0,0,0,0,0,2,2,8,20
DAL,24,401326359,2021,2,DAL,6,31,41,338,75.6,8.2,10.9,1,2,2,96.0,18,5.33,0,1,0,0,0,1,1,1,0,0,9,15
DAL,21,401326378,2021,3,DAL,6,25,39,326,64.1,8.4,13.04,2,2,2,64.0,12,5.33,0,1,0,0,0,0,0,0,0,3,3,9
